Bairro,Homicidios,Populacao
AEROLANDIA,17,11.360
AEROPORTO,2,8.618
JOSE DE ALENCAR,20,16.003
ALDEOTA,8,42.361
ALTO DA BALANCA,10,12.814
ALVARO WEYNE,21,23.690
AMADEU FURTADO,0,11.703
ANCURI,18,20.070
ANTONIO BEZERRA,16,25.846
AUTRAN NUNES,18,21.208
DE LOURDES,0,3.370
BARRA DO CEARA,70,72.423
BARROSO,45,29.847
BELA VISTA,17,16.754
BENFICA,2,12.954
BOM FUTURO,0,6.405
BOM JARDIM,53,37.758
BONSUCESSO,25,41.198
CAIS DO PORTO,19,22.382
CAJAZEIRAS,11,14.478
CAMBEBA,4,7.625
CANINDEZINHO,29,41.202
CARLITO PAMPLONA,17,29.076
CASTELAO,7,5.974
CENTRO,30,28.538
CIDADE 2000,5,8.272
CIDADE DOS FUNCIONARIOS,9,18.256
COACU,0,7.188
COCO,1,20.492
CONJUNTO CEARA I,7,19.221
CONJUNTO CEARA II,6,23.673
CONJUNTO ESPERANCA,15,16.405
CONJUNTO PALMEIRAS,46,36.599
COUTO FERNANDES,4,5.260
CRISTO REDENTOR,17,26.717
CURIO,11,7.636
DAMAS,2,10.719
DEMOCRITO ROCHA,5,10.994
DENDE,5,5.637
DIAS MACEDO,10,12.111
DIONISIO TORRES,3,15.634
DOM LUSTOSA,4,13.147
MANUEL DIAS BRANCO,3,1.447
EDSON QUEIROZ,24,22.210
VILA ELLERY,6,7.863
ENG LUCIANO CAVALCANTE,1,15.543
FARIAS BRITO,1,12.063
FATIMA,7,23.309
FLORESTA,10,28.896
GENIBAU,37,40.336
GENTILANDIA,0,3.984
GRANJA LISBOA,32,52.042
GRANJA PORTUGAL,26,39.651
GUAJERU,0,6.668
PATRIOLINO RIBEIRO,2,5.266
HENRIQUE JORGE,6,26.994
ITAOCA,10,12.477
ITAPERI,8,22.563
JACARECANGA,11,14.204
JANGURUSSU,57,50.479
JARDIM AMERICA,8,12.264
JARDIM CEARENSE,1,10.103
JARDIM DAS OLIVEIRAS,31,29.571
JARDIM GUANABARA,6,14.919
JARDIM IRACEMA,29,23.184
JOAO XXIII,10,18.398
JOAQUIM TAVORA,4,23.450
JOQUEI CLUBE,7,19.331
JOSE BONIFACIO,3,8.848
LAGOA REDONDA,13,27.949
MARAPONGA,12,10.155
BOA VISTA,1,12.247
MEIRELES,2,36.982
MESSEJANA,46,41.689
MONDUBIM,47,76.044
MONTE CASTELO,12,13.215
MONTESE,4,25.970
MOURA BRASIL,6,3.765
MUCURIPE,10,13.747
PADRE ANDRADE,6,12.936
PANAMERICANO,7,8.815
PAPICU,11,18.370
PARANGABA,11,30.947
PARQUE ARAXA,0,6.715
PARQUE DOIS IRMAOS,14,27.236
PARQUE IRACEMA,2,8.409
PARQUE MANIBURA,0,7.529
PARQUE PRESIDENTE VARGAS,9,7.192
PARQUE SANTA ROSA,8,12.790
PARQUE SAO JOSE,17,10.486
PARQUELANDIA,6,14.432
PARREAO,0,11.072
PASSARE,35,50.940
PAUPINA,12,14.665
PEDRAS,1,1.342
PICI,23,42.494
PIRAMBU,38,17.775
PLANALTO AYRTON SENNA,30,39.446
PRAIA DE IRACEMA,11,3.130
PRAIA DO FUTURO I,12,6.630
PRAIA DO FUTURO II,12,11.957
PREFEITO JOSE VALTER,25,33.427
PRESIDENTE KENNEDY,2,23.004
QUINTINO CUNHA,36,47.277
RODOLFO TEOFILO,4,19.114
SABIAGUABA,9,2.117
SALINAS,0,4.298
SAO BENTO,0,11.964
SAO GERARDO,3,14.505
SAO JOAO DO TAUAPE,24,27.598
SAPIRANGA COITE,13,32.158
SERRINHA,21,28.770
SIQUEIRA,30,33.628
VARJOTA,2,8.421
VICENTE PINZON,34,45.518
MANOEL SATIRO,9,37.952
VILA PERY,6,20.645
VILA UNIAO,10,15.378
VILA VELHA,31,61.617
