Codigo,Espacialidades,UF,PercentDe25AnosOuMaisComSuperiorCompleto1991,PercentDe25AnosOuMaisComSuperiorCompleto2000,PercentDe25AnosOuMaisComSuperiorCompleto2010,ExpectativaDeAnosDeEstudo1991,ExpectativaDeAnosDeEstudo2000,ExpectativaDeAnosDeEstudo2010
520005,Abadia de Goias,GO,0.51,3.12,7.23,8.86,9.48,7.94
310010,Abadia dos Dourados,MG,1.49,1.45,5.96,8.38,8.36,8.68
520010,Abadiania,GO,1.04,2.58,4.92,8.73,7.83,9.31
310020,Abaete,MG,2.18,2.98,6.53,7.66,8.68,9.19
150010,Abaetetuba,PA,0.66,1.32,4.53,7.12,7.17,8.99
230010,Abaiara,CE,0.08,0.99,2.78,4.3,8.05,9.7
290010,Abaira,BA,0.13,0.64,2.5,6.73,8.69,9.6
290020,Abare,BA,1.55,2.27,3.16,5.03,6.23,7.33
410010,Abatia,PR,2.94,2.82,5.44,9.35,9.35,9.93
420005,Abdon Batista,SC,0.79,1.77,6.22,9.71,11.16,9.37
420010,Abelardo Luz,SC,3.03,3.5,7.23,8.59,8.97,9.86
150013,Abel Figueiredo,PA,0.67,0.43,3.43,5.83,6.84,8.51
310030,Abre Campo,MG,2.08,2.9,6.81,8.28,8.33,9.34
260005,Abreu E Lima,PE,0.85,1.39,3.28,7.8,9.02,10.01
170025,Abreulandia,TO,,1.04,7.76,5.12,6.09,7.24
310040,Acaiaca,MG,0.53,0.95,5.05,7.97,8.91,10.09
210005,Acailandia,MA,0.64,1.2,4.68,5.37,7.95,9.34
290030,Acajutiba,BA,0.5,0.41,2.32,6.18,7.44,8.28
150020,Acara,PA,0.16,0.3,1.88,4.23,3.88,6.03
230015,Acarape,CE,0.41,1.11,3.22,5.79,8.63,9.14
230020,Acarau,CE,0.64,1.14,3.29,5.26,6.88,10.03
240010,Acari,RN,0.84,2.12,4.92,8.89,9.27,10.05
220005,Acaua,PI,,0.09,1.81,1.99,4.42,9
430003,Acegua,RS,1.36,3.33,4.85,9.36,10.5,9.88
230030,Acopiara,CE,0.15,0.3,2.52,6.06,7.13,9.94
510010,Acorizal,MT,1.16,1.21,3.17,8.43,7.71,6.99
120001,Acrelandia,AC,,0.5,4.22,4.01,6.66,7.35
520013,Acreuna,GO,1.36,1.66,5.18,7.68,8.78,9.78
310050,Acucena,MG,0.61,0.78,2.96,6.62,8.74,8.49
240020,Acu,RN,4.43,5.82,5.94,6.92,8.38,9.72
350010,Adamantina,SP,8.24,10.83,16.49,10.25,11.51,10.39
520015,Adelandia,GO,0.72,,4.04,8.54,9.26,10.84
350020,Adolfo,SP,2.8,3.26,6.82,9.16,11.51,10.13
410020,Adrianopolis,PR,1.96,2.67,3.02,9.38,8.81,8.68
290035,Adustina,BA,0.23,0.34,2.4,1.64,6.01,8.56
260010,Afogados da Ingazeira,PE,2.99,4.04,6.44,7.61,8.13,9.67
240030,Afonso Bezerra,RN,0.71,1.07,3.17,7.14,7.72,9.66
320010,Afonso Claudio,ES,1.38,0.91,5.79,8.42,8.6,8.43
210010,Afonso Cunha,MA,,,4.36,1.07,5.94,8.62
260020,Afranio,PE,0.23,0.43,2.66,6.98,7.08,10.09
150030,Afua,PA,0.25,0.34,2.3,4.34,4.41,6.59
260030,Agrestina,PE,0.23,1.41,2.48,6.12,6.96,8.78
220010,Agricolandia,PI,,0.32,3.5,8.59,7.99,9.98
420020,Agrolandia,SC,1.87,1.21,4.88,9.89,9.24,10.65
420030,Agronomica,SC,1.14,1.1,3.02,6.18,10.09,8.5
150034,Agua Azul do Norte,PA,0.55,0.3,0.7,4.94,4.73,7.48
310060,Agua Boa,MG,0.38,0.86,4.09,5.89,6.62,7.87
510020,Agua Boa,MT,2.18,4.01,10.05,7.48,8.44,10.01
270010,Agua Branca,AL,0.32,0.55,3.19,6.94,5.71,8.66
250010,Agua Branca,PB,1.42,0.58,3.86,5.44,7.06,7.87
220020,Agua Branca,PI,0.78,0.77,4.79,8.25,7.99,9.67
500020,Agua Clara,MS,1.16,2.12,6.01,5.75,8.03,8.94
310070,Agua Comprida,MG,1.25,2.82,7.2,8.84,9.52,8.5
210015,Agua Doce do Maranhao,MA,,0.44,1.6,2.35,3.38,8.07
320016,Agua Doce do Norte,ES,0.05,1.08,3.63,8.17,9.07,9.74
420040,Agua Doce,SC,3.06,4.98,9.52,9.22,9.61,10.43
290040,Agua Fria,BA,,0.1,1.64,4.19,6.34,7.56
520017,Agua Fria de Goias,GO,0.34,0.13,3.11,5.77,6.72,10.36
350030,Aguai,SP,4.5,5.57,7.65,9.89,8.77,8.57
520020,Agua Limpa,GO,,2.35,4.89,8.54,8.31,10.6
310080,Aguanil,MG,2.3,5.03,5.67,8.14,7.45,10.28
240040,Agua Nova,RN,1.48,2.86,2.64,5.95,7.35,10.52
260040,Agua Preta,PE,0.65,1.39,2.64,6.58,5.16,8.8
430005,Agua Santa,RS,0.88,2.65,6.89,10.41,10.75,10.51
260050,Aguas Belas,PE,0.91,1,2.65,4.83,5.91,7.51
350040,Aguas da Prata,SP,7.71,10.34,13.14,10.48,10.24,9.4
420050,Aguas de Chapeco,SC,1.5,1.48,4.53,10.05,9.13,10.51
350050,Aguas de Lindoia,SP,5.6,6.14,10.74,10.06,9.15,9.92
350055,Aguas de Santa Barbara,SP,6.16,8.43,12.5,10.21,10.89,9.17
350060,Aguas de Sao Pedro,SP,13.73,17.95,30.38,10.26,10.96,10.83
310090,Aguas Formosas,MG,1.11,2.07,5.77,7.36,9.04,9.11
420055,Aguas Frias,SC,,0.16,6.32,8.78,11.35,11.91
520025,Aguas Lindas de Goias,GO,1.21,0.52,1.97,5.68,7.26,9.3
420060,Aguas Mornas,SC,,0.78,4.82,8.21,9.36,10.29
310100,Aguas Vermelhas,MG,0.61,0.84,4.48,6.7,7.88,7.72
430010,Agudo,RS,1.93,1.99,5.42,9.91,9.77,7.95
410030,Agudos do Sul,PR,0.6,1.52,4.35,7.51,8.65,10.08
350070,Agudos,SP,4.38,4.95,8.09,9.49,10.48,10.03
320013,Aguia Branca,ES,1.61,2.04,3.71,9.81,9.44,9.78
170030,Aguiarnopolis,TO,1.07,0.4,3.06,4.54,8.31,8.93
250020,Aguiar,PB,0.91,0.33,3.57,4.83,6.01,9.36
310110,Aimores,MG,1.98,2.97,5.74,9.07,8.82,9.32
290060,Aiquara,BA,0.49,1,3.46,3.93,7.58,8.55
230040,Aiuaba,CE,,0.59,3.01,6.09,6.84,8.79
310120,Aiuruoca,MG,2.85,3.67,7,6.65,6.97,9.14
430020,Ajuricaba,RS,3.26,3.81,7.11,10.58,11.25,11.1
250030,Alagoa Grande,PB,1.83,2,2.91,5.58,6.03,7.78
310130,Alagoa,MG,1.88,2.16,5.34,9.04,8.73,9.16
250040,Alagoa Nova,PB,1.98,1.91,3.79,4.71,6.44,8.97
220025,Alagoinha do Piaui,PI,,0.62,2.93,3.22,6.09,7
250050,Alagoinha,PB,1.24,2.53,4.54,5.68,6.75,9.01
260060,Alagoinha,PE,1.71,1.87,3.57,6.85,6.75,8.29
290070,Alagoinhas,BA,1.83,2.66,6.82,6.99,8.34,8.71
350075,Alambari,SP,0.91,2.65,4.36,8.47,9.56,10.52
310140,Albertina,MG,1.81,2.47,4.99,7.4,8,8.79
210020,Alcantara,MA,0.19,0.2,2.97,5.72,7.05,8.21
230050,Alcantaras,CE,0.29,0.55,3.49,5.85,7.78,9.43
250053,Alcantil,PB,,,2.33,4.55,7.56,7.82
500025,Alcinopolis,MS,0.97,2.19,9.4,4.52,8.29,9.93
290080,Alcobaca,BA,1.6,1.37,3.33,3.55,7.67,8.1
210030,Aldeias Altas,MA,,,1.41,5.38,5.53,6.68
430030,Alecrim,RS,2.36,2.3,3.56,10.08,10.15,11.36
320020,Alegre,ES,6.1,6.99,13.06,9.09,9.37,9.75
220027,Alegrete do Piaui,PI,,0.89,4.48,4.07,5.77,8.69
430040,Alegrete,RS,6.52,7.98,10.93,10.02,10.62,10.98
430045,Alegria,RS,2.46,2.74,3.6,9.12,11.03,11.4
310150,Alem Paraiba,MG,6.77,7.56,9.63,9.18,9.44,9.2
150040,Alenquer,PA,0.27,0.48,3.01,5.04,5.61,7.82
240050,Alexandria,RN,3.27,3.31,5.53,5.76,7.96,8.74
520030,Alexania,GO,0.61,1.11,5.46,7.92,8.15,8.84
310160,Alfenas,MG,7.38,9.67,14.22,9.03,9.69,10.39
320030,Alfredo Chaves,ES,1.45,1.85,6.12,10.42,9.19,9.31
350080,Alfredo Marcondes,SP,4.65,5.36,6.95,11.09,10.53,11.04
310163,Alfredo Vasconcelos,MG,2.32,1.06,4.03,8.32,8.79,9.01
420070,Alfredo Wagner,SC,0.68,0.92,6.36,9.23,8.12,10.04
250057,Algodao de Jandaira,PB,,,1.73,4.77,5.61,9.03
250060,Alhandra,PB,0.36,0.95,1.82,4.92,6.69,8.67
170035,Alianca do Tocantins,TO,1.02,0.58,7.19,8.09,8.85,10.02
260070,Alianca,PE,0.9,1.21,2.86,6.63,7.27,8.48
290090,Almadina,BA,0.18,0.8,1.16,3.65,6.67,8.85
170040,Almas,TO,0.58,1.09,5.25,4.89,5.8,9.09
