ID,Espacialidades,UF,Gini1991,Gini2000,Gini2010
520005,Abadia de Goias,GO,0.44,0.5,0.42
310010,Abadia dos Dourados,MG,0.46,0.5,0.47
520010,Abadiania,GO,0.52,0.54,0.43
310020,Abaete,MG,0.52,0.58,0.54
150010,Abaetetuba,PA,0.5,0.6,0.53
230010,Abaiara,CE,0.44,0.6,0.48
290010,Abaira,BA,0.52,0.53,0.46
290020,Abare,BA,0.47,0.55,0.55
410010,Abatia,PR,0.53,0.43,0.44
420005,Abdon Batista,SC,0.48,0.56,0.45
420010,Abelardo Luz,SC,0.57,0.72,0.53
150013,Abel Figueiredo,PA,0.51,0.52,0.57
310030,Abre Campo,MG,0.52,0.51,0.52
260005,Abreu E Lima,PE,0.47,0.46,0.45
170025,Abreulandia,TO,0.45,0.47,0.71
310040,Acaiaca,MG,0.59,0.55,0.48
210005,Acailandia,MA,0.62,0.62,0.56
290030,Acajutiba,BA,0.55,0.56,0.57
150020,Acara,PA,0.58,0.5,0.53
230015,Acarape,CE,0.45,0.51,0.43
230020,Acarau,CE,0.51,0.64,0.6
240010,Acari,RN,0.53,0.47,0.49
220005,Acaua,PI,0.4,0.66,0.5
430003,Acegua,RS,0.53,0.54,0.53
230030,Acopiara,CE,0.58,0.71,0.57
510010,Acorizal,MT,0.52,0.57,0.5
120001,Acrelandia,AC,0.6,0.63,0.54
520013,Acreuna,GO,0.53,0.57,0.53
310050,Acucena,MG,0.56,0.55,0.48
240020,Acu,RN,0.55,0.59,0.53
350010,Adamantina,SP,0.57,0.55,0.51
520015,Adelandia,GO,0.57,0.53,0.43
350020,Adolfo,SP,0.41,0.38,0.38
410020,Adrianopolis,PR,0.56,0.57,0.53
290035,Adustina,BA,0.44,0.5,0.54
260010,Afogados da Ingazeira,PE,0.59,0.65,0.56
240030,Afonso Bezerra,RN,0.49,0.57,0.53
320010,Afonso Claudio,ES,0.64,0.54,0.5
210010,Afonso Cunha,MA,0.39,0.52,0.59
260020,Afranio,PE,0.48,0.57,0.53
150030,Afua,PA,0.47,0.49,0.66
260030,Agrestina,PE,0.51,0.59,0.48
220010,Agricolandia,PI,0.51,0.45,0.49
420020,Agrolandia,SC,0.54,0.46,0.36
420030,Agronomica,SC,0.53,0.47,0.47
150034,Agua Azul do Norte,PA,0.54,0.63,0.49
310060,Agua Boa,MG,0.55,0.64,0.5
510020,Agua Boa,MT,0.59,0.67,0.49
270010,Agua Branca,AL,0.52,0.66,0.56
250010,Agua Branca,PB,0.53,0.71,0.54
220020,Agua Branca,PI,0.5,0.55,0.49
500020,Agua Clara,MS,0.46,0.57,0.5
310070,Agua Comprida,MG,0.46,0.47,0.46
210015,Agua Doce do Maranhao,MA,0.45,0.56,0.59
320016,Agua Doce do Norte,ES,0.43,0.57,0.49
420040,Agua Doce,SC,0.58,0.59,0.54
290040,Agua Fria,BA,0.48,0.54,0.53
520017,Agua Fria de Goias,GO,0.52,0.67,0.6
350030,Aguai,SP,0.49,0.55,0.47
520020,Agua Limpa,GO,0.48,0.56,0.46
310080,Aguanil,MG,0.44,0.48,0.45
240040,Agua Nova,RN,0.53,0.55,0.44
260040,Agua Preta,PE,0.52,0.53,0.49
430005,Agua Santa,RS,0.56,0.48,0.68
260050,Aguas Belas,PE,0.53,0.62,0.58
350040,Aguas da Prata,SP,0.54,0.54,0.52
420050,Aguas de Chapeco,SC,0.54,0.6,0.44
350050,Aguas de Lindoia,SP,0.59,0.53,0.43
350055,Aguas de Santa Barbara,SP,0.55,0.51,0.48
350060,Aguas de Sao Pedro,SP,0.54,0.57,0.54
310090,Aguas Formosas,MG,0.64,0.65,0.57
420055,Aguas Frias,SC,0.51,0.55,0.38
520025,Aguas Lindas de Goias,GO,0.57,0.45,0.43
420060,Aguas Mornas,SC,0.39,0.36,0.34
310100,Aguas Vermelhas,MG,0.61,0.6,0.51
430010,Agudo,RS,0.61,0.53,0.52
410030,Agudos do Sul,PR,0.49,0.52,0.48
350070,Agudos,SP,0.47,0.53,0.41
320013,Aguia Branca,ES,0.65,0.55,0.53
170030,Aguiarnopolis,TO,0.45,0.62,0.48
250020,Aguiar,PB,0.49,0.5,0.65
310110,Aimores,MG,0.56,0.56,0.53
290060,Aiquara,BA,0.64,0.55,0.44
230040,Aiuaba,CE,0.62,0.65,0.53
310120,Aiuruoca,MG,0.55,0.63,0.49
430020,Ajuricaba,RS,0.58,0.45,0.47
250030,Alagoa Grande,PB,0.6,0.55,0.53
310130,Alagoa,MG,0.62,0.53,0.42
250040,Alagoa Nova,PB,0.52,0.6,0.54
220025,Alagoinha do Piaui,PI,0.6,0.53,0.51
250050,Alagoinha,PB,0.47,0.53,0.52
260060,Alagoinha,PE,0.54,0.56,0.49
290070,Alagoinhas,BA,0.61,0.59,0.55
350075,Alambari,SP,0.5,0.49,0.44
310140,Albertina,MG,0.4,0.39,0.35
210020,Alcantara,MA,0.48,0.62,0.59
230050,Alcantaras,CE,0.47,0.54,0.46
250053,Alcantil,PB,0.42,0.47,0.48
500025,Alcinopolis,MS,0.61,0.46,0.54
290080,Alcobaca,BA,0.62,0.54,0.53
210030,Aldeias Altas,MA,0.46,0.54,0.59
430030,Alecrim,RS,0.54,0.5,0.49
320020,Alegre,ES,0.6,0.57,0.52
