Posicao,ID,name,UF,IDHM1991,IDHMRenda1991,IDHMLongevidade1991,IDHMEducacao1991
1,354880,Sao Caetano do Sul,SP,0.697,0.792,0.785,0.544
2,354850,Santos,SP,0.689,0.788,0.775,0.536
3,420540,Florianopolis,SC,0.681,0.763,0.771,0.538
3,330330,Niteroi,RJ,0.681,0.79,0.717,0.557
5,431490,Porto Alegre,RS,0.66,0.779,0.748,0.494
6,320530,Vitoria,ES,0.644,0.754,0.715,0.495
7,354870,Sao Bernardo do Campo,SP,0.642,0.768,0.732,0.47
8,410690,Curitiba,PR,0.64,0.755,0.728,0.476
9,330455,Rio de Janeiro,RJ,0.639,0.757,0.714,0.483
10,420900,Joacaba,SC,0.635,0.714,0.791,0.454
10,352044,Ilha Solteira,SP,0.635,0.702,0.772,0.472
12,350060,Aguas de Sao Pedro,SP,0.634,0.803,0.785,0.405
13,354780,Santo Andre,SP,0.63,0.748,0.756,0.443
13,420200,Balneario Camboriu,SC,0.63,0.738,0.751,0.452
15,355030,Sao Paulo,SP,0.626,0.784,0.742,0.421
15,354340,Ribeirao Preto,SP,0.626,0.759,0.754,0.429
15,421660,Sao Jose,SC,0.626,0.694,0.786,0.45
18,354140,Presidente Prudente,SP,0.623,0.721,0.766,0.437
19,354890,Sao Carlos,SP,0.62,0.732,0.777,0.42
20,350950,Campinas,SP,0.618,0.775,0.746,0.408
21,530010,Brasilia,DF,0.616,0.762,0.731,0.419
22,430210,Bento Goncalves,RS,0.612,0.711,0.777,0.415
23,420240,Blumenau,SC,0.611,0.726,0.772,0.407
23,320520,Vila Velha,ES,0.611,0.693,0.689,0.477
23,354390,Rio Claro,SP,0.611,0.712,0.753,0.426
26,354980,Sao Jose do Rio Preto,SP,0.61,0.741,0.748,0.409
27,350160,Americana,SP,0.609,0.735,0.768,0.401
27,431690,Santa Maria,RS,0.609,0.699,0.756,0.428
29,411520,Maringa,PR,0.608,0.703,0.725,0.441
30,350320,Araraquara,SP,0.607,0.722,0.752,0.411
30,354990,Sao Jose dos Campos,SP,0.607,0.727,0.754,0.409
30,350600,Bauru,SP,0.607,0.727,0.717,0.43
33,350530,Barra Bonita,SP,0.603,0.737,0.762,0.39
33,430680,Encantado,RS,0.603,0.688,0.772,0.413
35,421870,Tubarao,SC,0.602,0.656,0.775,0.43
35,352590,Jundiai,SP,0.602,0.74,0.756,0.39
35,420890,Jaragua do Sul,SC,0.602,0.711,0.761,0.404
35,310620,Belo Horizonte,MG,0.602,0.74,0.727,0.406
35,353930,Pirassununga,SP,0.602,0.714,0.742,0.412
40,352900,Marilia,SP,0.601,0.714,0.729,0.418
41,355410,Taubate,SP,0.6,0.701,0.783,0.393
41,432280,Veranopolis,RS,0.6,0.678,0.777,0.41
41,520870,Goiania,GO,0.6,0.717,0.718,0.42
44,351840,Guaratingueta,SP,0.598,0.731,0.734,0.398
44,352710,Lins,SP,0.598,0.7,0.757,0.404
44,431140,Lajeado,RS,0.598,0.698,0.748,0.409
47,353650,Paulinia,SP,0.597,0.718,0.765,0.388
47,350400,Assis,SP,0.597,0.69,0.742,0.416
47,355620,Valinhos,SP,0.597,0.729,0.746,0.391
50,353715,Pedrinhas Paulista,SP,0.594,0.68,0.749,0.412
50,313670,Juiz de Fora,MG,0.594,0.696,0.717,0.42
50,351550,Fernandopolis,SP,0.594,0.68,0.785,0.393
50,430510,Caxias do Sul,RS,0.594,0.728,0.756,0.381
54,350010,Adamantina,SP,0.592,0.672,0.731,0.423
55,352720,Lorena,SP,0.591,0.683,0.722,0.419
55,317070,Varginha,MG,0.591,0.686,0.752,0.401
55,420290,Brusque,SC,0.591,0.693,0.758,0.393
58,350280,Aracatuba,SP,0.59,0.715,0.717,0.401
59,431410,Passo Fundo,RS,0.589,0.678,0.717,0.421
59,430770,Esteio,RS,0.589,0.675,0.742,0.409
59,431320,Nova Petropolis,RS,0.589,0.68,0.788,0.382
62,420820,Itajai,SC,0.588,0.679,0.736,0.407
62,411370,Londrina,PR,0.588,0.706,0.725,0.398
62,350750,Botucatu,SP,0.588,0.72,0.731,0.387
65,431330,Nova Prata,RS,0.586,0.664,0.763,0.397
66,354910,Sao Joao da Boa Vista,SP,0.585,0.693,0.774,0.373
66,420910,Joinville,SC,0.585,0.692,0.793,0.365
68,420460,Criciuma,SC,0.584,0.678,0.738,0.398
68,354660,Santa Fe do Sul,SP,0.584,0.654,0.748,0.407
70,316870,Timoteo,MG,0.583,0.643,0.759,0.406
71,351110,Catanduva,SP,0.582,0.706,0.769,0.364
72,355670,Vinhedo,SP,0.581,0.725,0.78,0.346
72,353460,Osvaldo Cruz,SP,0.581,0.651,0.742,0.406
72,354750,Santa Rita do Passa Quatro,SP,0.581,0.669,0.783,0.375
72,315180,Pocos de Caldas,MG,0.581,0.689,0.775,0.367
76,354330,Ribeirao Pires,SP,0.58,0.709,0.722,0.382
76,431280,Nova Araca,RS,0.58,0.663,0.742,0.397
76,353870,Piracicaba,SP,0.58,0.722,0.751,0.36
76,330630,Volta Redonda,RJ,0.58,0.656,0.734,0.405
80,352430,Jaboticabal,SP,0.579,0.719,0.717,0.377
80,421480,Rio do Sul,SC,0.579,0.669,0.735,0.395
80,355220,Sorocaba,SP,0.579,0.717,0.72,0.376
83,353430,Orlandia,SP,0.578,0.694,0.767,0.363
83,351240,Cordeiropolis,SP,0.578,0.677,0.76,0.375
83,350190,Amparo,SP,0.578,0.688,0.722,0.389
83,430700,Erechim,RS,0.578,0.686,0.746,0.378
87,353340,Nova Odessa,SP,0.577,0.681,0.745,0.378
87,315250,Pouso Alegre,MG,0.577,0.677,0.767,0.369
87,317020,Uberlandia,MG,0.577,0.691,0.758,0.366
90,350040,Aguas da Prata,SP,0.576,0.674,0.775,0.365
90,261160,Recife,PE,0.576,0.692,0.676,0.409
92,352530,Jau,SP,0.575,0.691,0.773,0.355
92,411160,Ivatuba,PR,0.575,0.7,0.678,0.4
92,430860,Garibaldi,RS,0.575,0.698,0.743,0.367
92,313240,Itajuba,MG,0.575,0.656,0.744,0.389
92,310690,Bicas,MG,0.575,0.639,0.727,0.409
92,355160,Serra Negra,SP,0.575,0.676,0.763,0.368
92,421620,Sao Francisco do Sul,SC,0.575,0.628,0.762,0.398
99,350640,Bilac,SP,0.574,0.637,0.752,0.395
99,353080,Moji Mirim,SP,0.574,0.705,0.755,0.356
99,353130,Monte Alto,SP,0.574,0.691,0.774,0.353
99,351440,Dracena,SP,0.574,0.668,0.695,0.408
99,317010,Uberaba,MG,0.574,0.677,0.733,0.382
104,350330,Araras,SP,0.573,0.701,0.751,0.358
104,354515,Saltinho,SP,0.573,0.737,0.785,0.326
106,350520,Bariri,SP,0.572,0.656,0.76,0.375
106,353440,Osasco,SP,0.572,0.714,0.747,0.351
106,431265,Nao-Me-Toque,RS,0.572,0.659,0.727,0.39
106,240810,Natal,RN,0.572,0.663,0.693,0.407
110,355710,Votuporanga,SP,0.571,0.669,0.769,0.361
110,353990,Poloni,SP,0.571,0.663,0.759,0.37
112,353470,Ourinhos,SP,0.57,0.672,0.761,0.363
112,432030,Selbach,RS,0.57,0.618,0.727,0.412
114,510340,Cuiaba,MT,0.569,0.698,0.708,0.372
114,350650,Birigui,SP,0.569,0.683,0.737,0.366
114,350250,Aparecida,SP,0.569,0.688,0.72,0.372
114,420425,Cocal do Sul,SC,0.569,0.642,0.784,0.366
114,411460,Marechal Candido Rondon,PR,0.569,0.634,0.739,0.393
114,354620,Santa Cruz da Conceicao,SP,0.569,0.709,0.748,0.348
120,430960,Horizontina,RS,0.568,0.628,0.75,0.39
120,431805,Sao Domingos do Sul,RS,0.568,0.651,0.751,0.375
120,351620,Franca,SP,0.568,0.706,0.763,0.34
120,431750,Santo Angelo,RS,0.568,0.651,0.752,0.374
120,354120,Presidente Bernardes,SP,0.568,0.644,0.743,0.382
125,430055,Alto Alegre,RS,0.567,0.609,0.734,0.408
125,353940,Piratininga,SP,0.567,0.709,0.74,0.347
125,354070,Porto Ferreira,SP,0.567,0.675,0.719,0.375
125,352480,Jales,SP,0.567,0.674,0.717,0.378
129,353210,Murutinga do Sul,SP,0.566,0.617,0.744,0.396
129,353060,Mogi das Cruzes,SP,0.566,0.704,0.697,0.37
129,431127,Lagoa dos Tres Cantos,RS,0.566,0.659,0.76,0.362
129,431400,Parai,RS,0.566,0.661,0.78,0.352
129,355510,Tupi Paulista,SP,0.566,0.629,0.742,0.388
134,431350,Osorio,RS,0.565,0.672,0.788,0.341
134,330320,Nilopolis,RJ,0.565,0.636,0.685,0.414
134,351040,Capivari,SP,0.565,0.705,0.762,0.336
137,421580,Sao Bento do Sul,SC,0.564,0.645,0.791,0.352
137,421720,Sao Miguel do Oeste,SC,0.564,0.624,0.791,0.364
137,314590,Ouro Branco,MG,0.564,0.657,0.709,0.385
137,430780,Estrela,RS,0.564,0.662,0.751,0.361
137,351820,Guararapes,SP,0.564,0.659,0.75,0.363
137,432377,Westfalia,RS,0.564,0.66,0.759,0.358
137,353280,Nova Alianca,SP,0.564,0.65,0.713,0.387
144,430810,Feliz,RS,0.563,0.683,0.761,0.343
144,292740,Salvador,BA,0.563,0.686,0.679,0.383
144,432330,Vila Flores,RS,0.563,0.681,0.713,0.368
144,353070,Mogi Guacu,SP,0.563,0.682,0.74,0.354
144,420430,Concordia,SC,0.563,0.658,0.788,0.345
144,355090,Sao Simao,SP,0.563,0.68,0.749,0.351
144,500270,Campo Grande,MS,0.563,0.703,0.717,0.354
144,355480,Tremembe,SP,0.563,0.687,0.775,0.336
144,353850,Piquete,SP,0.563,0.656,0.709,0.384
144,432255,Vanini,RS,0.563,0.575,0.72,0.432
154,355280,Taboao da Serra,SP,0.562,0.705,0.718,0.351
154,421800,Tijucas,SC,0.562,0.673,0.762,0.346
154,352140,Iracemapolis,SP,0.562,0.701,0.773,0.328
154,432210,Tucunduva,RS,0.562,0.632,0.75,0.374
154,430470,Carazinho,RS,0.562,0.649,0.703,0.39
154,211130,Sao Luis,MA,0.562,0.617,0.67,0.43
154,355500,Tupa,SP,0.562,0.679,0.727,0.359
154,150140,Belem,PA,0.562,0.674,0.71,0.371
162,351518,Espirito Santo do Pinhal,SP,0.561,0.68,0.779,0.334
162,352690,Limeira,SP,0.561,0.684,0.73,0.353
162,430160,Bage,RS,0.561,0.648,0.749,0.364
162,260960,Olinda,PE,0.561,0.641,0.696,0.395
162,431680,Santa Cruz do Sul,RS,0.561,0.681,0.733,0.353
162,355100,Sao Vicente,SP,0.561,0.691,0.717,0.357
162,432040,Serafina Correa,RS,0.561,0.658,0.75,0.358
169,351080,Casa Branca,SP,0.56,0.678,0.733,0.353
169,350210,Andradina,SP,0.56,0.653,0.735,0.365
169,430790,Farroupilha,RS,0.56,0.708,0.772,0.321
169,411850,Pato Branco,PR,0.56,0.667,0.715,0.369
169,411790,Palotina,PR,0.56,0.649,0.723,0.374
169,330420,Resende,RJ,0.56,0.661,0.721,0.369
175,354760,Santa Rosa de Viterbo,SP,0.559,0.668,0.759,0.345
175,420650,Guaramirim,SC,0.559,0.652,0.787,0.341
175,431740,Santiago,RS,0.559,0.616,0.766,0.371
175,421820,Timbo,SC,0.559,0.677,0.762,0.338
175,430610,Cruz Alta,RS,0.559,0.653,0.727,0.368
175,350055,Aguas de Santa Barbara,SP,0.559,0.65,0.742,0.363
175,420280,Braco do Norte,SC,0.559,0.603,0.782,0.37
175,351150,Cerquilho,SP,0.559,0.726,0.751,0.321
175,421930,Videira,SC,0.559,0.664,0.793,0.331
184,421900,Urussanga,SC,0.558,0.628,0.8,0.345
184,411840,Paranavai,PR,0.558,0.648,0.726,0.37
184,431440,Pelotas,RS,0.558,0.666,0.736,0.354
184,352680,Lencois Paulista,SP,0.558,0.693,0.744,0.337
184,350050,Aguas de Lindoia,SP,0.558,0.664,0.756,0.347
184,354090,Pradopolis,SP,0.558,0.67,0.719,0.36
184,351460,Dumont,SP,0.558,0.697,0.749,0.332
184,350550,Barretos,SP,0.558,0.684,0.754,0.337
192,431710,Sant'Ana do Livramento,RS,0.557,0.641,0.706,0.382
192,430100,Arroio do Meio,RS,0.557,0.646,0.772,0.347
192,350420,Auriflama,SP,0.557,0.665,0.711,0.365
192,351300,Cotia,SP,0.557,0.735,0.754,0.312
192,355450,Tiete,SP,0.557,0.7,0.754,0.328
192,354970,Sao Jose do Rio Pardo,SP,0.557,0.675,0.757,0.339
192,353140,Monte Aprazivel,SP,0.557,0.65,0.759,0.351
192,354220,Rancharia,SP,0.557,0.618,0.757,0.369
200,352410,Ituverava,SP,0.556,0.669,0.735,0.35
200,351340,Cruzeiro,SP,0.556,0.64,0.703,0.383
200,420590,Gaspar,SC,0.556,0.677,0.747,0.34
200,430460,Canoas,RS,0.556,0.671,0.733,0.349
204,431720,Santa Rosa,RS,0.555,0.64,0.745,0.359
204,431900,Sao Marcos,RS,0.555,0.702,0.761,0.32
204,351690,General Salgado,SP,0.555,0.654,0.69,0.378
207,410640,Cornelio Procopio,PR,0.554,0.638,0.708,0.376
207,354670,Santa Gertrudes,SP,0.554,0.676,0.754,0.333
207,420395,Capivari de Baixo,SC,0.554,0.585,0.766,0.379
207,352340,Itatiba,SP,0.554,0.702,0.741,0.326
207,261070,Paulista,PE,0.554,0.614,0.728,0.381
207,354730,Santana de Parnaiba,SP,0.554,0.801,0.747,0.284
207,412530,Sao Jorge do Ivai,PR,0.554,0.618,0.72,0.383
207,421760,Sideropolis,SC,0.554,0.601,0.739,0.382
215,350860,Cachoeira Paulista,SP,0.553,0.64,0.756,0.35
215,432100,Tapera,RS,0.553,0.64,0.703,0.376
215,431020,Ijui,RS,0.553,0.646,0.72,0.364
215,431937,Sao Pedro do Butia,RS,0.553,0.607,0.748,0.373
215,354490,Sales Oliveira,SP,0.553,0.695,0.744,0.327
215,430480,Carlos Barbosa,RS,0.553,0.688,0.742,0.332
215,431300,Nova Brescia,RS,0.553,0.647,0.788,0.331
215,350760,Braganca Paulista,SP,0.553,0.705,0.741,0.323
215,310150,Alem Paraiba,MG,0.553,0.628,0.704,0.383
215,430940,Guapore,RS,0.553,0.649,0.724,0.359
225,412810,Umuarama,PR,0.552,0.647,0.715,0.363
225,330150,Cordeiro,RJ,0.552,0.63,0.658,0.406
225,431950,Sao Sebastiao do Cai,RS,0.552,0.668,0.744,0.339
225,420620,Gravatal,SC,0.552,0.593,0.779,0.365
225,355320,Taiuva,SP,0.552,0.671,0.764,0.328
225,330390,Petropolis,RJ,0.552,0.681,0.719,0.344
231,430535,Charqueadas,RS,0.551,0.613,0.765,0.357
231,410150,Arapongas,PR,0.551,0.652,0.702,0.366
231,431080,Ivoti,RS,0.551,0.685,0.777,0.315
231,250750,Joao Pessoa,PB,0.551,0.659,0.66,0.384
231,411210,Jandaia do Sul,PR,0.551,0.628,0.713,0.374
231,420930,Lages,SC,0.551,0.639,0.726,0.361
231,355170,Sertaozinho,SP,0.551,0.706,0.776,0.305
231,353710,Pedreira,SP,0.551,0.703,0.757,0.315
