ID,Espacialidades,UF,Renda1991,Renda2000,Renda2010
520005,Abadia de Goias,GO,266.22,385.66,574.96
310010,Abadia dos Dourados,MG,247.43,370.42,596.18
520010,Abadiania,GO,261.01,330.07,519.87
310020,Abaete,MG,263.12,498.82,707.24
150010,Abaetetuba,PA,169.25,206.84,293.01
230010,Abaiara,CE,83.34,143.75,229.74
290010,Abaira,BA,136.5,204.01,290.53
290020,Abare,BA,143.36,166.97,220.16
410010,Abatia,PR,237.64,286.5,535.86
420005,Abdon Batista,SC,174.16,301.64,485.35
420010,Abelardo Luz,SC,252.42,490.21,562.88
150013,Abel Figueiredo,PA,243.37,317.56,390.12
310030,Abre Campo,MG,158,307.67,444.32
260005,Abreu E Lima,PE,213.32,260.29,390.4
170025,Abreulandia,TO,109.42,186.14,624.03
310040,Acaiaca,MG,220.82,267.8,357.03
210005,Acailandia,MA,269.72,294.27,438.56
290030,Acajutiba,BA,124.44,155.56,260.46
150020,Acara,PA,131.4,160.07,199.34
230015,Acarape,CE,125.8,163.3,259.03
230020,Acarau,CE,131.06,161.22,250.79
240010,Acari,RN,179.82,258.99,410.61
220005,Acaua,PI,68.14,63.5,199.35
430003,Acegua,RS,378.29,440.76,633.63
230030,Acopiara,CE,104.25,177.7,266.65
510010,Acorizal,MT,175.97,251.09,321.58
120001,Acrelandia,AC,223.65,268.77,303.76
520013,Acreuna,GO,331.6,500.67,664.09
310050,Acucena,MG,129.39,181.29,325.42
240020,Acu,RN,195.46,279.08,432.38
350010,Adamantina,SP,525.09,696.1,975.43
520015,Adelandia,GO,289.18,299.33,497.31
350020,Adolfo,SP,351.62,439.57,661.65
410020,Adrianopolis,PR,214.45,228.71,440.79
290035,Adustina,BA,112.28,171.39,211.37
260010,Afogados da Ingazeira,PE,152.5,280.17,386.56
240030,Afonso Bezerra,RN,106.02,188.57,261.3
320010,Afonso Claudio,ES,209.14,359.81,489.59
210010,Afonso Cunha,MA,70.12,87.25,149.78
260020,Afranio,PE,97.02,140.58,233.59
150030,Afua,PA,139.09,147.25,163.98
260030,Agrestina,PE,156.31,222.12,297.02
220010,Agricolandia,PI,76.42,115.07,245.68
420020,Agrolandia,SC,291.07,411.89,739.1
420030,Agronomica,SC,282.4,511.95,985.65
150034,Agua Azul do Norte,PA,167.45,269.22,266.02
310060,Agua Boa,MG,124.94,242.11,322.12
510020,Agua Boa,MT,371.2,695.97,720.74
270010,Agua Branca,AL,78.7,138.86,213
250010,Agua Branca,PB,63.19,145.3,233.65
220020,Agua Branca,PI,144.59,201.45,335.63
500020,Agua Clara,MS,292.22,513.9,642.97
310070,Agua Comprida,MG,282.22,517.02,701.19
210015,Agua Doce do Maranhao,MA,89.32,96.12,172.55
320016,Agua Doce do Norte,ES,120.94,252.68,377.39
420040,Agua Doce,SC,292.36,581.61,722.21
290040,Agua Fria,BA,73.95,113.81,215.12
520017,Agua Fria de Goias,GO,167.57,332.03,525.2
350030,Aguai,SP,412.97,610.66,636.07
520020,Agua Limpa,GO,255.38,426.11,591.23
310080,Aguanil,MG,197.39,420.84,524.43
240040,Agua Nova,RN,123.58,101.84,212.82
260040,Agua Preta,PE,118.92,139.69,195.47
430005,Agua Santa,RS,283.57,442.3,1491.17
260050,Aguas Belas,PE,107.49,131.78,239.3
350040,Aguas da Prata,SP,531.44,680.16,853.39
420050,Aguas de Chapeco,SC,195.01,522.53,673.13
350050,Aguas de Lindoia,SP,498.51,805.89,730.13
350055,Aguas de Santa Barbara,SP,456.63,612.97,818.15
350060,Aguas de Sao Pedro,SP,1185.28,1759.76,1580.72
310090,Aguas Formosas,MG,188.7,226.06,389.57
420055,Aguas Frias,SC,247.69,494.34,743.13
520025,Aguas Lindas de Goias,GO,335.23,300.59,449.38
420060,Aguas Mornas,SC,248.07,384.13,754.54
310100,Aguas Vermelhas,MG,201.55,189.5,306.97
430010,Agudo,RS,427.84,550.66,861.06
410030,Agudos do Sul,PR,220.73,303.22,519.63
350070,Agudos,SP,404.41,530.21,642.59
320013,Aguia Branca,ES,134.01,333.79,487.28
170030,Aguiarnopolis,TO,158.75,194.86,374.27
250020,Aguiar,PB,88.31,115.43,407.32
310110,Aimores,MG,237.81,354.63,567.46
290060,Aiquara,BA,134.02,185.75,283.24
230040,Aiuaba,CE,74.98,99.06,200.6
310120,Aiuruoca,MG,255.26,448.77,539.92
430020,Ajuricaba,RS,319.98,466.14,925.7
250030,Alagoa Grande,PB,146,184.01,287.94
310130,Alagoa,MG,283,281.33,413.75
250040,Alagoa Nova,PB,101.82,164.27,272.81
220025,Alagoinha do Piaui,PI,109.3,197.96,222.87
250050,Alagoinha,PB,85.31,163.13,284.64
260060,Alagoinha,PE,138.16,178.67,275.5
290070,Alagoinhas,BA,274.52,363.32,553.17
350075,Alambari,SP,361.56,429.24,556.36
310140,Albertina,MG,322.92,421.88,564.08
210020,Alcantara,MA,116,118.37,209.27
230050,Alcantaras,CE,88.52,136.44,243.73
250053,Alcantil,PB,120.11,136.38,245.01
500025,Alcinopolis,MS,470.09,591.69,764.03
290080,Alcobaca,BA,139.33,234.96,357.99
210030,Aldeias Altas,MA,94.82,112.18,179.92
430030,Alecrim,RS,195.15,287.84,561.62
320020,Alegre,ES,286.49,426.17,655.72
220027,Alegrete do Piaui,PI,112.15,210.13,268.12
430040,Alegrete,RS,459.15,533.5,705.29
430045,Alegria,RS,210.31,299.59,692.76
310150,Alem Paraiba,MG,397.32,583.96,674.5
150040,Alenquer,PA,143.85,165.11,215.33
240050,Alexandria,RN,143.22,157.76,296.5
520030,Alexania,GO,215.34,335.05,498.09
310160,Alfenas,MG,476.91,704.36,783.41
320030,Alfredo Chaves,ES,277.2,387.77,634.97
350080,Alfredo Marcondes,SP,378.46,443.27,558.38
310163,Alfredo Vasconcelos,MG,182.88,280.32,400.14
420070,Alfredo Wagner,SC,293.86,521.78,630.54
250057,Algodao de Jandaira,PB,69.71,119.09,218.7
250060,Alhandra,PB,130.29,167.58,236.14
170035,Alianca do Tocantins,TO,192.3,254.82,357.08
260070,Alianca,PE,112.74,151.65,269.86
290090,Almadina,BA,81.41,165.85,265.39
170040,Almas,TO,114.97,219.3,369.39
150050,Almeirim,PA,296.99,486.59,484.16
310170,Almenara,MG,260.57,330.21,419.98
240060,Almino Afonso,RN,123.1,169.67,291.3
430047,Almirante Tamandare do Sul,RS,232.9,405.77,760.16
410040,Almirante Tamandare,PR,295.96,401.17,646.02
520050,Aloandia,GO,204.78,510.75,599.9
310180,Alpercata,MG,154.02,296.2,401.21
430050,Alpestre,RS,133.79,267.81,625.11
310190,Alpinopolis,MG,325.63,472.48,633.91
110001,Alta Floresta D'Oeste,RO,198.46,371.15,476.99
510025,Alta Floresta,MT,297.62,520.9,660.84
350090,Altair,SP,352.71,436.52,616.38
210040,Altamira do Maranhao,MA,118.27,138.17,164.24
410045,Altamira do Parana,PR,164.03,257.35,506.31
150060,Altamira,PA,276.44,401.93,492.05
230060,Altaneira,CE,85.88,169.23,240.97
310200,Alterosa,MG,204.35,379.84,475.99
260080,Altinho,PE,129.31,168.95,259.21
350100,Altinopolis,SP,506.48,772.55,731.49
210043,Alto Alegre do Maranhao,MA,73.25,129.19,198.43
210047,Alto Alegre do Pindare,MA,68.01,119.81,144.91
