codigo,Espacialidades,UF,ESPVIDA1991,MORT1991,ESPVIDA2000,MORT12000,ESPVIDA2010,MORT12010
110001,Alta Floresta D'Oeste,RO,62.01,45.58,66.9,28.36,70.75,23.8
110002,Ariquemes,RO,66.02,32.39,69.52,21.68,73.36,19.2
110003,Cabixi,RO,63.16,41.52,65.62,31.99,70.39,24.8
110004,Cacoal,RO,65.03,35.37,69.7,21.27,74.27,14.3
110005,Cerejeiras,RO,62.73,43,67.22,27.5,72.94,18.1
110006,Colorado do Oeste,RO,64.46,37.19,67.61,26.45,73.81,16.1
110007,Corumbiara,RO,59.32,56.02,63.94,37.21,71.45,21.9
110008,Costa Marques,RO,62.76,42.9,64.01,36.98,70.04,25.8
110009,Espigao D'Oeste,RO,64.18,38.09,67.61,26.45,74.15,15.4
110010,Guajara-Mirim,RO,64.71,36.41,69.52,21.68,74.39,14.8
110011,Jaru,RO,64.46,37.19,67.61,26.45,74.51,14.6
110012,Ji-Parana,RO,64.51,37.04,67.76,26.07,73.6,16.2
110013,Machadinho D'Oeste,RO,60.43,51.56,65.8,31.48,70.32,25
110014,Nova Brasilandia D'Oeste,RO,61.4,47.83,64.58,35.16,70.75,23.8
110015,Ouro Preto do Oeste,RO,62.76,42.9,67.22,27.5,73.72,16.3
110018,Pimenta Bueno,RO,62.76,42.9,67.22,27.5,73.15,17.6
110020,Porto Velho,RO,62.99,43.88,67.22,27.5,74.14,15.52
110025,Presidente Medici,RO,63.84,39.23,65.84,31.34,72.51,19.2
110026,Rio Crespo,RO,59.66,54.65,66.92,28.31,73.77,16.2
110028,Rolim de Moura,RO,64.87,35.88,69.52,21.68,73.46,16.9
110029,Santa Luzia D'Oeste,RO,59.32,56.02,66.57,29.28,73.73,16.3
110030,Vilhena,RO,64.89,35.82,69.7,21.27,73.49,16.98
110032,Sao Miguel do Guapore,RO,58.56,59.24,64.58,35.16,71.87,20.8
110033,Nova Mamore,RO,57.82,62.46,64.01,36.98,71.15,22.7
110034,Alvorada D'Oeste,RO,60.89,49.76,65.16,33.37,70.75,23.8
110037,Alto Alegre dos Parecis,RO,59.32,56.02,65.84,31.34,71.64,21.4
110040,Alto Paraiso,RO,59.66,54.65,66.57,29.28,73.22,17.4
