cod,2012,sexo,idade,escolaridade,partido,regiao,cidade
110001,Não,Masculino,55, médio incpt.,PMDB,Norte,ALTA FLORESTA DOESTE
110002,Não,Masculino,56, médio cpt.,PMN,Norte,ARIQUEMES
110003,Sim,Masculino,42,Pós-graduação,PTB,Norte,CABIXI
110004,Sim,Masculino,67, superior cpt.,PT,Norte,CACOAL
110005,Não,Masculino,55, superior cpt.,PP,Norte,CEREJEIRAS
110006,Sim,Masculino,44, médio cpt.,PP,Norte,COLORADO DO OESTE
110007,Não,Masculino,38, fundamental cpt.,PDT,Norte,CORUMBIARA
110008,Não,Masculino,60, fundamental incpt.,PT,Norte,COSTA MARQUES
110009,Sim,Masculino,56,Pós-graduação,PMDB,Norte,ESPIGAO D'OESTE
110010,Não,Masculino,65,Pós-graduação,PT,Norte,GUAJARA-MIRIM
110011,Não,Masculino,45, superior cpt.,PT,Norte,JARU
110012,Não,Masculino,54, superior cpt.,PSB,Norte,JI-PARANA
110013,Sim,Masculino,41, médio cpt.,PV,Norte,MACHADINHO D'OESTE
110014,Não,Masculino,51, médio cpt.,PMDB,Norte,NOVA BRASILANDIA D'OESTE
110015,Sim,Masculino,48, médio cpt.,PSD,Norte,OURO PRETO DO OESTE
110018,Não,Masculino,33,Pós-graduação,PTB,Norte,PIMENTA BUENO
110020,Não,Masculino,54, superior cpt.,PSB,Norte,PORTO VELHO
110025,Não,Feminino,46,Pós-graduação,PT,Norte,PRESIDENTE MEDICI
110026,Não,Masculino,36, superior incpt.,PMDB,Norte,RIO CRESPO
110028,Não,Masculino,52, médio cpt.,PP,Norte,ROLIM DE MOURA
110029,Sim,Masculino,43, médio cpt.,PMDB,Norte,SANTA LUZIA D'OESTE
110030,Sim,Masculino,47, médio cpt.,PP,Norte,VILHENA
110032,Não,Masculino,27, superior cpt.,PT,Norte,SAO MIGUEL DO GUAPORE
110033,Não,Masculino,57, médio cpt.,PSDB,Norte,NOVA MAMORE
110034,Não,Masculino,37, médio cpt.,PP,Norte,ALVORADA D'OESTE
110037,Não,Masculino,55, fundamental cpt.,PSD,Norte,ALTO ALEGRE DOS PARECIS
110040,Não,Masculino,47, fundamental cpt.,PMDB,Norte,ALTO PARAISO
110045,Não,Masculino,48, médio cpt.,PMDB,Norte,BURITIS
110050,Não,Masculino,45, médio cpt.,PSDC,Norte,NOVO HORIZONTE DO OESTE
110060,Não,Masculino,59, médio incpt.,PMN,Norte,CACAULANDIA
110070,Não,Masculino,50, superior cpt.,PV,Norte,CAMPO NOVO DE RONDONIA
110080,Sim,Masculino,47, superior incpt.,PV,Norte,CANDEIAS DO JAMARI
110090,Não,Masculino,32, superior cpt.,PP,Norte,CASTANHEIRAS
110092,Sim,Masculino,50, superior cpt.,PMDB,Norte,CHUPINGUAIA
110094,Sim,Masculino,33, superior incpt.,PRTB,Norte,CUJUBIM
110100,Não,Feminino,43, fundamental cpt.,PMDB,Norte,GOVERNADOR JORGE TEIXEIRA
110110,Sim,Masculino,53, médio cpt.,PMDB,Norte,ITAPUA DO OESTE
110120,Sim,Masculino,41, médio incpt.,PTB,Norte,MINISTRO ANDREAZZA
110130,Sim,Masculino,55, superior incpt.,PMDB,Norte,MIRANTE DA SERRA
110140,Não,Masculino,24, superior incpt.,PP,Norte,MONTE NEGRO
110143,Não,Masculino,37, superior cpt.,PR,Norte,NOVA UNIAO
