cod,nome,plan,legis,saude,meioamb,polgen,pop,ida
110001,ALTA FLORESTA DOESTE,-2,12,7,1,-8,25728,10
110002,ARIQUEMES,4,10,7,0,13,101269,34
110003,CABIXI,-2,-1,1,-4,-6,6495,-12
110004,CACOAL,14,12,1,4,4,85863,35
110005,CEREJEIRAS,-1,-5,7,6,-22,18041,-15
110006,COLORADO DO OESTE,-2,2,1,-5,-6,19190,-10
110007,CORUMBIARA,-2,-1,3,-7,-3,9036,-10
110008,COSTA MARQUES,-2,7,9,-4,-6,15853,4
110009,ESPIGAO D'OESTE,-2,10,1,7,-25,31699,-9
110010,GUAJARA-MIRIM,-2,-3,7,-1,14,45761,15
110011,JARU,-2,12,7,0,-6,55597,11
110012,JI-PARANA,-2,10,7,-3,0,128026,12
110013,MACHADINHO D'OESTE,-2,8,5,-6,-6,35633,-1
110014,NOVA BRASILANDIA D'OESTE,-2,1,1,2,-6,21427,-4
110015,OURO PRETO DO OESTE,12,10,7,-8,-6,40099,15
110018,PIMENTA BUENO,10,12,3,-6,-21,36939,-2
110020,PORTO VELHO,14,8,1,2,39,484992,64
110025,PRESIDENTE MEDICI,6,10,7,4,-6,23017,21
110026,RIO CRESPO,-2,-5,7,-1,-14,3666,-15
110028,ROLIM DE MOURA,-2,6,1,6,-7,55357,4
110029,SANTA LUZIA D'OESTE,-2,-1,7,-4,-17,8887,-17
110030,VILHENA,-1,4,5,1,-17,87727,-8
110032,SAO MIGUEL DO GUAPORE,10,6,7,2,-6,23668,19
110033,NOVA MAMORE,-2,0,7,3,-6,26227,2
110034,ALVORADA D'OESTE,14,12,1,4,-12,17399,19
110037,ALTO ALEGRE DOS PARECIS,-2,10,3,-2,-14,13827,-5
110040,ALTO PARAISO,8,7,9,-1,-6,19459,17
110045,BURITIS,0,6,7,7,-26,36555,-6
110050,NOVO HORIZONTE DO OESTE,8,3,1,-3,-8,10515,1
110060,CACAULANDIA,-4,-5,7,6,-8,6268,-4
110070,CAMPO NOVO DE RONDONIA,6,0,7,-7,-6,13939,0
110080,CANDEIAS DO JAMARI,4,4,5,3,-35,22973,-19
110090,CASTANHEIRAS,12,-3,0,-5,-8,3689,-4
110092,CHUPINGUAIA,-1,1,7,-4,-3,9636,0
110094,CUJUBIM,1,1,7,-3,-2,19410,4
110100,GOVERNADOR JORGE TEIXEIRA,14,-5,7,-7,-6,10534,3
110110,ITAPUA DO OESTE,-2,-7,1,1,-6,9661,-13
110120,MINISTRO ANDREAZZA,-2,5,-1,0,-8,10899,-6
110130,MIRANTE DA SERRA,-1,1,7,2,-6,12469,3
110140,MONTE NEGRO,10,9,5,-4,-20,15541,0
110143,NOVA UNIAO,-2,-1,1,-1,-6,7883,-9
110145,PARECIS,-2,7,5,-6,-14,5477,-10
110146,PIMENTEIRAS DO OESTE,-1,-7,1,6,-25,2440,-26
110147,PRIMAVERA DE RONDONIA,8,9,3,-4,-12,3597,4
110148,SAO FELIPE D'OESTE,-2,12,3,-1,-8,6219,4
110149,SAO FRANCISCO DO GUAPORE,8,4,9,-8,-10,18265,3
110150,SERINGUEIRAS,-2,-7,1,-6,-8,12505,-22
110155,TEIXEIROPOLIS,12,-3,9,2,-6,5080,14
110160,THEOBROMA,-2,-7,7,1,-6,11343,-7
110170,URUPA,14,3,7,7,-23,13491,8
110175,VALE DO ANARI,-2,-3,5,-5,-8,10518,-13
110180,VALE DO PARAISO,2,7,7,3,-31,8425,-12
120001,ACRELANDIA,-1,-7,5,-6,-6,13353,-15
120005,ASSIS BRASIL,-1,0,-1,1,-14,6480,-15
120010,BRASILEIA,0,2,5,4,-10,22899,1
120013,BUJARI,10,-5,7,-9,-21,9003,-18
120017,CAPIXABA,-1,-3,3,-8,-10,9836,-19
120020,CRUZEIRO DO SUL,-2,-4,7,7,-4,80377,4
120025,EPITACIOLANDIA,4,0,3,2,-21,16099,-12
120030,FEIJO,1,4,3,-4,-17,32411,-13
120032,JORDAO,-2,-5,1,1,-6,7147,-11
120033,MANCIO LIMA,1,-3,7,3,14,16410,22
120034,MANOEL URBANO,-2,-7,5,-6,-10,8386,-20
120035,MARECHAL THAUMATURGO,-2,-3,3,3,-8,15857,-7
120038,PLACIDO DE CASTRO,-2,-3,3,-6,-6,17795,-14
120039,PORTO WALTER,-2,-1,7,-7,-8,10143,-11
120040,RIO BRANCO,14,8,3,-1,0,357194,24
120042,RODRIGUES ALVES,-2,-1,7,9,-10,15968,3
120043,SANTA ROSA DO PURUS,-2,-9,5,1,-13,5374,-18
120045,SENADOR GUIOMARD,-2,-1,1,-8,-12,20799,-22
120050,SENA MADUREIRA,-4,6,7,3,-6,40311,6
120060,TARAUACA,-2,-7,5,-3,-6,37571,-13
120070,XAPURI,-1,-2,7,-3,-8,17021,-7
120080,PORTO ACRE,6,-7,7,7,-17,16029,-4
130002,ALVARAES,6,-3,7,-2,-19,15166,-11
130006,AMATURA,4,-7,7,3,3,10436,10
130008,ANAMA,-2,-5,5,-2,-10,11636,-14
130010,ANORI,1,-7,-1,-7,-8,18351,-22
130014,APUI,14,10,5,5,-6,19860,28
130020,ATALAIA DO NORTE,10,-9,3,-7,-8,17174,-11
130030,AUTAZES,8,-4,5,0,8,35554,17
130040,BARCELOS,-2,6,3,-4,-2,27110,1
130050,BARREIRINHA,14,4,3,5,-4,29737,22
