Posicao,name,IDHM1991,IDHMRenda1991,IDHMLongevidade1991,IDHMEducacao1991
1,Sao Caetano do Sul,0.697,0.792,0.785,0.544
2,Santos,0.689,0.788,0.775,0.536
3,Florianopolis,0.681,0.763,0.771,0.538
3,Niteroi,0.681,0.790,0.717,0.557
5,Porto Alegre,0.660,0.779,0.748,0.494
6,Vitoria,0.644,0.754,0.715,0.495
7,Sao Bernardo do Campo,0.642,0.768,0.732,0.470
8,Curitiba,0.640,0.755,0.728,0.476
9,Rio de Janeiro,0.639,0.757,0.714,0.483
10,Joacaba,0.635,0.714,0.791,0.454
10,Ilha Solteira,0.635,0.702,0.772,0.472
12,Aguas de Sao Pedro,0.634,0.803,0.785,0.405
13,Santo Andre,0.630,0.748,0.756,0.443
13,Balneario Camboriu,0.630,0.738,0.751,0.452
15,Sao Paulo,0.626,0.784,0.742,0.421
15,Ribeirao Preto,0.626,0.759,0.754,0.429
15,Sao Jose,0.626,0.694,0.786,0.450
18,Presidente Prudente,0.623,0.721,0.766,0.437
19,Sao Carlos,0.620,0.732,0.777,0.420
20,Campinas,0.618,0.775,0.746,0.408
21,Brasilia,0.616,0.762,0.731,0.419
22,Bento Goncalves,0.612,0.711,0.777,0.415
23,Blumenau,0.611,0.726,0.772,0.407
23,Vila Velha,0.611,0.693,0.689,0.477
23,Rio Claro,0.611,0.712,0.753,0.426
26,Sao Jose do Rio Preto,0.610,0.741,0.748,0.409
27,Americana,0.609,0.735,0.768,0.401
27,Santa Maria,0.609,0.699,0.756,0.428
29,Maringa,0.608,0.703,0.725,0.441
30,Araraquara,0.607,0.722,0.752,0.411
30,Sao Jose dos Campos,0.607,0.727,0.754,0.409
30,Bauru,0.607,0.727,0.717,0.430
33,Barra Bonita,0.603,0.737,0.762,0.390
33,Encantado,0.603,0.688,0.772,0.413
35,Tubarao,0.602,0.656,0.775,0.430
35,Jundiai,0.602,0.740,0.756,0.390
35,Jaragua do Sul,0.602,0.711,0.761,0.404
35,Belo Horizonte,0.602,0.740,0.727,0.406
35,Pirassununga,0.602,0.714,0.742,0.412
40,Marilia,0.601,0.714,0.729,0.418
41,Taubate,0.600,0.701,0.783,0.393
41,Veranopolis,0.600,0.678,0.777,0.410
41,Goiania,0.600,0.717,0.718,0.420
44,Guaratingueta,0.598,0.731,0.734,0.398
44,Lins,0.598,0.700,0.757,0.404
44,Lajeado,0.598,0.698,0.748,0.409
47,Paulinia,0.597,0.718,0.765,0.388
47,Assis,0.597,0.690,0.742,0.416
47,Valinhos,0.597,0.729,0.746,0.391
50,Pedrinhas Paulista,0.594,0.680,0.749,0.412
50,Juiz de Fora,0.594,0.696,0.717,0.420
50,Fernandopolis,0.594,0.680,0.785,0.393
50,Caxias do Sul,0.594,0.728,0.756,0.381
54,Adamantina,0.592,0.672,0.731,0.423
55,Lorena,0.591,0.683,0.722,0.419
55,Varginha,0.591,0.686,0.752,0.401
55,Brusque,0.591,0.693,0.758,0.393
58,Aracatuba,0.590,0.715,0.717,0.401
59,Passo Fundo,0.589,0.678,0.717,0.421
59,Esteio,0.589,0.675,0.742,0.409
59,Nova Petropolis,0.589,0.680,0.788,0.382
62,Itajai,0.588,0.679,0.736,0.407
62,Londrina,0.588,0.706,0.725,0.398
62,Botucatu,0.588,0.720,0.731,0.387
65,Nova Prata,0.586,0.664,0.763,0.397
66,Sao Joao da Boa Vista,0.585,0.693,0.774,0.373
66,Joinville,0.585,0.692,0.793,0.365
68,Criciuma,0.584,0.678,0.738,0.398
68,Santa Fe do Sul,0.584,0.654,0.748,0.407
70,Timoteo,0.583,0.643,0.759,0.406
71,Catanduva,0.582,0.706,0.769,0.364
72,Vinhedo,0.581,0.725,0.780,0.346
72,Osvaldo Cruz,0.581,0.651,0.742,0.406
72,Santa Rita do Passa Quatro,0.581,0.669,0.783,0.375
72,Pocos de Caldas,0.581,0.689,0.775,0.367
76,Ribeirao Pires,0.580,0.709,0.722,0.382
76,Nova Araca,0.580,0.663,0.742,0.397
76,Piracicaba,0.580,0.722,0.751,0.360
76,Volta Redonda,0.580,0.656,0.734,0.405
80,Jaboticabal,0.579,0.719,0.717,0.377
80,Rio do Sul,0.579,0.669,0.735,0.395
80,Sorocaba,0.579,0.717,0.720,0.376
83,Orlandia,0.578,0.694,0.767,0.363
83,Cordeiropolis,0.578,0.677,0.760,0.375
83,Amparo,0.578,0.688,0.722,0.389
83,Erechim,0.578,0.686,0.746,0.378
87,Nova Odessa,0.577,0.681,0.745,0.378
87,Pouso Alegre,0.577,0.677,0.767,0.369
87,Uberlandia,0.577,0.691,0.758,0.366
90,Aguas da Prata,0.576,0.674,0.775,0.365
90,Recife,0.576,0.692,0.676,0.409
92,Jau,0.575,0.691,0.773,0.355
92,Ivatuba,0.575,0.700,0.678,0.400
92,Garibaldi,0.575,0.698,0.743,0.367
92,Itajuba,0.575,0.656,0.744,0.389
92,Bicas,0.575,0.639,0.727,0.409
92,Serra Negra,0.575,0.676,0.763,0.368
92,Sao Francisco do Sul,0.575,0.628,0.762,0.398
99,Bilac,0.574,0.637,0.752,0.395
99,Mogi Mirim,0.574,0.705,0.755,0.356
99,Monte Alto,0.574,0.691,0.774,0.353
99,Dracena,0.574,0.668,0.695,0.408
99,Uberaba,0.574,0.677,0.733,0.382
104,Araras,0.573,0.701,0.751,0.358
104,Saltinho,0.573,0.737,0.785,0.326
106,Bariri,0.572,0.656,0.760,0.375
106,Osasco,0.572,0.714,0.747,0.351
106,Nao-Me-Toque,0.572,0.659,0.727,0.390
106,Natal,0.572,0.663,0.693,0.407
110,Votuporanga,0.571,0.669,0.769,0.361
110,Poloni,0.571,0.663,0.759,0.370
112,Ourinhos,0.570,0.672,0.761,0.363
112,Selbach,0.570,0.618,0.727,0.412
114,Cuiaba,0.569,0.698,0.708,0.372
114,Birigui,0.569,0.683,0.737,0.366
114,Aparecida,0.569,0.688,0.720,0.372
114,Cocal do Sul,0.569,0.642,0.784,0.366
114,Marechal Candido Rondon,0.569,0.634,0.739,0.393
114,Santa Cruz da Conceicao,0.569,0.709,0.748,0.348
120,Horizontina,0.568,0.628,0.750,0.390
120,Sao Domingos do Sul,0.568,0.651,0.751,0.375
120,Franca,0.568,0.706,0.763,0.340
120,Santo Angelo,0.568,0.651,0.752,0.374
120,Presidente Bernardes,0.568,0.644,0.743,0.382
125,Alto Alegre,0.567,0.609,0.734,0.408
125,Piratininga,0.567,0.709,0.740,0.347
125,Porto Ferreira,0.567,0.675,0.719,0.375
125,Jales,0.567,0.674,0.717,0.378
129,Murutinga do Sul,0.566,0.617,0.744,0.396
129,Mogi das Cruzes,0.566,0.704,0.697,0.370
129,Lagoa dos Tres Cantos,0.566,0.659,0.760,0.362
129,Parai,0.566,0.661,0.780,0.352
129,Tupi Paulista,0.566,0.629,0.742,0.388
134,Osorio,0.565,0.672,0.788,0.341
134,Nilopolis,0.565,0.636,0.685,0.414
134,Capivari,0.565,0.705,0.762,0.336
137,Sao Bento do Sul,0.564,0.645,0.791,0.352
137,Sao Miguel do Oeste,0.564,0.624,0.791,0.364
137,Ouro Branco,0.564,0.657,0.709,0.385
137,Estrela,0.564,0.662,0.751,0.361
137,Guararapes,0.564,0.659,0.750,0.363
137,Westfalia,0.564,0.660,0.759,0.358
137,Nova Alianca,0.564,0.650,0.713,0.387
144,Feliz,0.563,0.683,0.761,0.343
144,Salvador,0.563,0.686,0.679,0.383
144,Vila Flores,0.563,0.681,0.713,0.368
144,Mogi Guacu,0.563,0.682,0.740,0.354
144,Concordia,0.563,0.658,0.788,0.345
144,Sao Simao,0.563,0.680,0.749,0.351
144,Campo Grande,0.563,0.703,0.717,0.354
144,Tremembe,0.563,0.687,0.775,0.336
144,Piquete,0.563,0.656,0.709,0.384
144,Vanini,0.563,0.575,0.720,0.432
154,Taboao da Serra,0.562,0.705,0.718,0.351
